Date,IMA,WeightBearing,Sedentary,Standing,LPA,MPA,VPA,Steps
8/11/2021,91815,1878,111078,1286,4138,1466,814,9876
9/11/2021,100642,3226,112274,2144,4640,1976,704,10074
10/11/2021,137141,3120,134114,3048,4104,2560,114,11014
11/11/2021,90231,292,80186,240,3288,2814,176,7656
12/11/2021,97236,18,79104,18,5564,1448,176,12114
13/11/2021,84441,1266,77584,658,4040,1532,92,9408
14/11/2021,58070,1998,74448,1946,1528,334,412,3460
15/11/2021,93977,2266,72866,1494,6266,3590,168,11000
16/11/2021,136213,3032,67308,1926,7360,5096,462,18338
17/11/2021,89879,588,78224,512,4298,1458,0,10447
18/11/2021,123259,362,76828,222,6064,2308,250,14581
19/11/2021,120389,2,77664,0,5848,1862,928,14182
20/11/2021,103177,3534,65810,2586,5960,1008,0,11017
21/11/2021,103177,3534,65810,2586,5960,1008,0,11018
23/11/2021,103177,3534,65810,2586,5960,1008,0,11017
24/11/2021,103177,3534,65810,2586,5960,1008,0,11019
25/11/2021,103177,3534,65810,2586,5960,1008,0,11017
25/11/2021,103177,3534,65810,2586,5960,1008,0,11018
26/11/2021,119525,2772,100568,1820,7034,406,386,13164
27/11/2021,119883,3070,74686,2156,5864,1980,0,13042
28/11/2021,81050,2428,73274,1764,4562,424,0,7779
29/11/2021,127966,1550,73694,1524,6206,2840,0,14902
30/11/2021,106063,3442,104432,2258,4904,1692,588,13116
1/12/2021,100540,3014,69596,2140,5154,1600,280,12915
2/12/2021,99524,3482,67368,2628,4820,2034,180,13522
3/12/2021,82619,24,81498,32,3830,788,100,8193
4/12/2021,55414,8,83326,2,2630,316,0,4761
5/12/2021,55414,8,83326,2,2630,316,0,4762
6/12/2021,55414,8,83326,2,2630,316,0,4761
7/12/2021,55414,8,83326,2,2630,316,0,4762
8/12/2021,53800,492,131922,392,2476,400,0,4619
9/12/2021,63608,164,83078,128,2528,234,0,4523
10/12/2021,63608,164,83078,128,2528,234,0,4524
10/12/2021,63608,164,83078,128,2528,234,0,4523
12/12/2021,57646,326,99896,302,2678,556,0,5100
13/12/2021,66213,1786,74758,1708,2490,240,0,4495
14/12/2021,93531,686,79542,492,3278,1156,180,7280
15/12/2021,82597,1486,76054,1256,3018,508,0,5619
16/12/2021,116822,6,80170,0,4160,1060,1564,11231
17/12/2021,85322,4340,63470,3724,2868,1258,538,7925
18/12/2021,94130,412,80596,350,3026,604,398,7427
19/12/2021,68683,426,81096,382,3166,96,0,5655
20/12/2021,68683,426,81096,382,3166,96,0,5656
17/08/2021,182979,2070,70106,1320,7654,2636,1158,18238
18/08/2021,153770,2872,125952,1968,3616,2560,1252,12634
19/08/2021,162715,3076,108732,1828,6736,1872,780,16745
20/08/2021,310970,2322,109298,1394,6278,5904,5972,29509
21/08/2021,146841,846,74366,548,6364,2636,562,15504
22/08/2021,57508,1050,78740,922,2920,40,0,4892
23/08/2021,100370,96,81064,66,2352,1650,992,8467
24/08/2021,83832,2,82484,0,2798,566,460,7040
25/08/2021,97228,148,82030,112,2244,1790,824,8239
26/08/2021,127203,112,79016,86,3302,2574,1034,11442
27/08/2021,119727,362,80884,324,3708,1670,984,10232
28/08/2021,182722,770,57716,392,4310,4306,2746,18764
28/08/2021,182722,770,57716,392,4310,4306,2746,18766
30/08/2021,43807,100,51690,36,902,556,264,2918
31/08/2021,82745,32,84108,18,2630,1064,426,6416
1/9/2021,76564,286,83842,184,2164,1430,180,6478
2/9/2021,105919,380,79278,372,3328,1512,338,9357
3/9/2021,88860,440,83306,286,2242,1198,720,7430
4/9/2021,55317,858,81398,532,1562,632,176,4167
5/9/2021,186092,1964,118528,1456,7200,2152,856,20526
6/9/2021,196267,996,136846,688,6330,2896,1180,16731
7/9/2021,303956,20,126156,20,9340,6700,1912,31568
8/9/2021,220635,172,133154,144,7398,2980,1484,21296
9/9/2021,144191,652,139204,496,3956,1696,728,10898
10/9/2021,166925,784,137444,672,4840,2140,916,14076
11/9/2021,267874,136,136748,148,8492,2368,3788,25998
12/9/2021,192148,4,130504,0,8768,1776,204,21817
13/09/2021,154083,1058,128640,838,4928,980,1516,12817
14/09/2021,87107,6324,49658,6322,3330,1216,364,8084
15/09/2021,83197,370,81528,200,1822,1424,702,6423
16/09/2021,94493,290,81764,288,2780,1294,536,7966
17/09/2021,95347,722,81314,478,2364,978,1050,7546
18/09/2021,97836,22,80210,28,4758,948,260,10099
19/09/2021,148421,2942,66150,1910,4726,1084,2350,14056
20/09/2021,111970,884,77658,498,4084,1636,712,10190
21/09/2021,99307,1352,77976,934,3494,1364,516,8665
22/09/2021,88771,566,82900,420,2502,1532,504,7222
23/09/2021,92062,232,83224,168,2888,906,704,7780
24/09/2021,83315,68,84294,30,2492,1198,606,6616
25/09/2021,167381,134,75160,94,6376,3348,1034,17811
26/09/2021,257868,930,68344,390,4098,8038,4486,25879
27/09/2021,96734,1618,79046,984,4148,898,324,8947
28/09/2021,94558,520,79234,362,3686,1312,344,8433
29/09/2021,87526,982,79816,876,2552,1434,436,7183
30/09/2021,112252,908,76760,554,4918,874,378,11208
1/10/2021,81622,210,81554,204,1910,1354,398,5840
2/10/2021,80157,1086,78792,698,3342,548,312,7549
3/10/2021,77626,1946,56858,1236,3582,1754,0,7670
20/08/2021,91352,2,49370,2,7506,8,0,12133
21/08/2021,91352,2,49370,2,2586,4928,0,12134
22/08/2021,41460,0,84298,0,1216,742,58,3121
23/08/2021,71680,0,82628,0,1728,1246,714,7011
25/08/2021,56183,0,74994,0,1442,654,294,5103
26/08/2021,56183,0,74994,0,1442,654,294,5104
27/08/2021,56183,0,74994,0,1442,654,294,5103
28/08/2021,56183,0,74994,0,1442,654,294,5105
29/08/2021,56183,0,74994,0,1442,654,294,5103
30/08/2021,80679,8,50856,6,754,1602,2648,8733
31/08/2021,62966,0,83428,0,1364,1352,172,5525
1/9/2021,113078,0,79058,0,1790,3668,1800,14813
2/9/2021,77275,12,82666,12,1702,208,1726,6929
3/9/2021,74118,0,82030,0,1796,1734,756,7136
4/9/2021,74118,0,82030,0,1796,1734,756,7137
5/9/2021,70290,0,82560,0,560,1250,1946,6337
6/9/2021,111521,30,78780,30,2866,3584,976,13226
7/9/2021,111521,30,78780,30,2866,3584,976,13227
8/9/2021,111521,30,78780,30,2866,3584,976,13226
9/9/2021,111521,30,78780,30,2866,3584,976,13228
10/9/2021,111521,30,78780,30,2866,3584,976,13226
11/9/2021,111521,30,78780,30,2866,3584,976,13227
12/9/2021,111521,30,78780,30,2866,3584,976,13226
13/09/2021,111521,30,78780,30,2866,3584,976,13227
14/09/2021,111521,30,78780,30,2866,3584,976,13226
15/09/2021,111521,30,78780,30,2866,3584,976,13228
16/09/2021,70290,0,82560,0,1810,1250,696,6337
17/09/2021,70290,0,82560,0,1810,1250,696,6338
18/09/2021,74118,0,82030,0,1764,1766,756,7136
19/09/2021,56183,0,74994,0,1442,654,294,5103
1/7/2021,181757,1106,111100,994,10684,0,0,15972
2/7/2021,181757,1106,111100,994,10684,0,0,15973
3/7/2021,181757,1106,111100,994,10684,0,0,15972
4/7/2021,181757,1106,111100,994,10684,0,0,15974
5/7/2021,181757,1106,111100,994,10684,0,0,15972
6/7/2021,181757,1106,111100,994,10684,0,0,15973
7/7/2021,181757,1106,111100,994,10684,0,0,15972
8/7/2021,181757,1106,111100,994,10684,0,0,15975
9/7/2021,181757,1106,111100,994,10684,0,0,15972
10/7/2021,181757,1106,111100,994,10684,0,0,15977
11/7/2021,181757,1106,111100,994,10684,0,0,15972
12/7/2021,181757,1106,111100,994,10684,0,0,15973
13/07/2021,181757,1106,111100,994,10684,0,0,15972
14/07/2021,181757,1106,111100,994,10684,0,0,15974
15/07/2021,181757,1106,111100,994,10684,0,0,15972
16/07/2021,181757,1106,111100,994,10684,0,0,15973
17/07/2021,198639,14,88406,26,7304,3750,1256,18678
18/07/2021,143860,2674,94632,2154,7262,758,0,12089
19/07/2021,119346,588,89360,532,3722,1728,420,9474
20/07/2021,146938,1574,83558,1284,5586,1856,1064,13641
21/07/2021,186232,956,88514,752,7500,1892,1664,17169
22/07/2021,184157,628,111270,566,5790,4096,1048,18433
23/07/2021,175414,870,117666,704,7394,1030,1182,13126
24/07/2021,123443,150,84328,136,3906,1416,1116,10020
25/07/2021,105172,744,77430,732,4580,548,0,7788
26/07/2021,144472,2290,82554,2184,4928,816,1700,11356
27/07/2021,144472,2290,82554,2184,4928,816,1700,11357
28/07/2021,118071,668,77150,596,4056,912,1280,10052
29/07/2021,120031,1090,76298,1062,4692,784,592,9229
30/07/2021,103461,3216,72278,3200,4538,684,0,7979
31/07/2021,189515,2880,62286,2464,7202,2316,2134,16406
15/08/2021,57864,358,16888,334,2478,1174,246,5775
16/08/2021,324378,2786,176550,2392,9976,2594,1158,30235
17/08/2021,485630,2042,110362,1750,7172,6008,12900,42815
18/08/2021,69904,684,111258,684,2342,200,0,4141
19/08/2021,225185,272,74158,156,3446,3478,4566,20891
20/08/2021,57139,116,93362,82,1260,374,210,4862
21/08/2021,101317,1004,89294,832,3638,1140,44,8645
22/08/2021,172842,466,75734,404,4620,2814,1756,16290
23/08/2021,120271,2508,71986,1730,4606,1452,378,10832
24/08/2021,142911,802,74676,790,3632,1850,2438,12817
25/08/2021,118947,1078,75196,1040,5026,1704,294,12393
26/08/2021,124314,2276,104550,2230,5316,1292,0,11495
27/08/2021,111471,398,79326,350,4412,980,96,11189
28/08/2021,224548,554,72110,394,4250,5080,3938,19715
29/08/2021,139194,1780,72438,1548,3882,2752,0,14267
30/08/2021,77891,616,55518,522,3242,804,0,7067
31/08/2021,77891,616,55518,522,3242,804,0,7068
1/9/2021,77891,616,55518,522,3242,804,0,7067
2/9/2021,77891,616,55518,522,3242,804,0,7069
