item_id,date,steps,sedentary,LPA,MPA,VPA,active
p01,2019-11-01,17873.0,636,245,58,72,4
p01,2019-11-02,13118.0,709,202,43,56,4
p01,2019-11-03,14312.0,648,262,63,45,4
p01,2019-11-04,10970.0,760,230,23,28,3
p01,2019-11-05,16186.0,737,263,22,56,4
p01,2019-11-06,8189.0,849,206,10,11,2
p01,2019-11-07,8710.0,866,182,11,15,2
p01,2019-11-08,12888.0,744,212,38,54,4
p01,2019-11-09,16450.0,653,305,31,60,4
p01,2019-11-10,17843.0,629,263,34,92,4
p01,2019-11-11,12519.0,811,220,13,40,4
p01,2019-11-12,10392.0,744,221,16,36,3
p01,2019-11-13,11185.0,825,197,24,33,3
p01,2019-11-14,19220.0,691,208,53,121,4
p01,2019-11-15,18259.0,660,265,45,85,4
p01,2019-11-16,15305.0,668,302,47,64,4
p01,2019-11-17,11916.0,752,248,28,35,3
p01,2019-11-18,8241.0,878,131,4,55,2
p01,2019-11-19,7134.0,903,145,6,25,1
p01,2019-11-20,10116.0,743,200,37,38,3
p01,2019-11-21,19747.0,680,197,55,137,4
p01,2019-11-22,10938.0,797,187,43,41,3
p01,2019-11-23,20704.0,639,226,44,121,4
p01,2019-11-24,16517.0,565,263,27,97,4
p01,2019-11-25,12481.0,767,251,19,36,3
p01,2019-11-26,16428.0,750,202,44,73,4
p01,2019-11-27,10556.0,769,218,18,25,3
p01,2019-11-28,17535.0,670,239,36,104,4
p01,2019-11-29,16209.0,709,255,55,60,4
p01,2019-11-30,10782.0,671,266,31,37,3
p01,2019-12-01,13736.0,630,295,33,54,4
p01,2019-12-02,12224.0,947,224,19,37,3
p01,2019-12-03,18142.0,725,221,23,91,4
p01,2019-12-04,11745.0,782,218,30,33,3
p01,2019-12-05,18234.0,682,262,44,99,4
p01,2019-12-06,10401.0,823,198,25,35,3
p01,2019-12-07,14898.0,533,363,24,48,4
p01,2019-12-08,15805.0,598,298,33,71,4
p01,2019-12-09,11223.0,725,290,27,16,3
p01,2019-12-10,7708.0,891,155,12,22,2
p01,2019-12-11,9855.0,720,175,32,40,2
p01,2019-12-12,10728.0,885,274,15,17,3
p01,2019-12-13,15910.0,691,301,23,56,4
p01,2019-12-14,15348.0,622,303,36,52,4
p01,2019-12-15,21362.0,513,357,61,108,4
p01,2019-12-16,10489.0,755,222,36,30,3
p01,2019-12-17,12437.0,786,235,24,46,3
p01,2019-12-18,14775.0,729,268,19,47,4
p01,2019-12-19,18894.0,684,298,40,74,4
p01,2019-12-20,13110.0,805,268,19,54,4
p01,2019-12-21,17760.0,656,227,36,106,4
p01,2019-12-22,18170.0,521,331,74,70,4
p01,2019-12-23,17227.0,536,326,19,81,4
p01,2019-12-24,13316.0,536,435,28,31,4
p01,2019-12-25,11804.0,625,256,53,26,3
p01,2019-12-26,16891.0,557,287,59,87,4
p01,2019-12-27,10161.0,630,301,25,24,3
p01,2019-12-28,12445.0,542,379,6,27,3
p01,2019-12-29,13699.0,582,277,42,67,4
p01,2019-12-30,10187.0,752,292,5,13,2
p01,2019-12-31,11490.0,659,343,13,19,3
p01,2020-01-01,11847.0,687,309,27,20,3
p01,2020-01-02,10346.0,636,196,11,37,3
p01,2020-01-03,17431.0,713,170,33,102,4
p01,2020-01-04,16170.0,598,210,19,93,4
p01,2020-01-05,11425.0,631,257,27,44,3
p01,2020-01-06,11322.0,827,196,25,43,3
p01,2020-01-07,17638.0,741,215,29,103,4
p01,2020-01-08,8149.0,853,146,14,38,2
p01,2020-01-09,13189.0,748,165,33,92,4
p01,2020-01-10,13733.0,782,171,33,70,4
p01,2020-01-11,13736.0,586,231,37,50,4
p01,2020-01-12,8820.0,742,181,20,34,2
p01,2020-01-13,8564.0,835,209,53,15,2
p01,2020-01-14,17723.0,713,208,38,85,4
p01,2020-01-15,14145.0,717,204,26,61,4
p01,2020-01-16,13888.0,750,162,23,112,4
p01,2020-01-17,12501.0,739,237,27,39,4
p01,2020-01-18,13480.0,783,195,34,66,4
p01,2020-01-19,13255.0,767,203,31,63,4
p01,2020-01-20,7492.0,795,206,9,18,1
p01,2020-01-21,11684.0,757,227,10,41,3
p01,2020-01-22,10162.0,819,247,20,23,3
p01,2020-01-23,15169.0,699,212,41,95,4
p01,2020-01-24,10721.0,696,253,23,20,3
p01,2020-01-25,18231.0,632,248,52,71,4
p01,2020-01-26,18422.0,610,284,27,79,4
p01,2020-01-27,9026.0,805,247,11,27,2
p01,2020-01-28,14473.0,742,210,52,72,4
p01,2020-01-29,4749.0,916,132,20,11,0
p01,2020-01-30,14398.0,552,389,29,85,4
p01,2020-01-31,12231.0,647,333,30,42,3
p01,2020-02-01,14409.0,598,402,36,28,4
p01,2020-02-02,11652.0,501,505,11,16,3
p01,2020-02-03,10754.0,534,432,29,26,3
