sedentary,LPA,MPA,VPA,steps,active
111078,4138,1466,814,9876,2
112274,4640,1976,704,10074,3
134114,4104,2560,114,11014,3
80186,3288,2814,176,7656,2
79104,5564,1448,176,12114,3
77584,4040,1532,92,9408,2
74448,1528,334,412,3460,0
72866,6266,3590,168,11000,3
67308,7360,5096,462,18338,4
78224,4298,1458,0,10447,3
76828,6064,2308,250,14581,4
77664,5848,1862,928,14182,4
65810,5960,1008,0,11017,3
65810,5960,1008,0,11018,3
65810,5960,1008,0,11017,3
65810,5960,1008,0,11019,3
65810,5960,1008,0,11017,3
65810,5960,1008,0,11018,3
100568,7034,406,386,13164,4
74686,5864,1980,0,13042,4
73274,4562,424,0,7779,2
73694,6206,2840,0,14902,4
104432,4904,1692,588,13116,4
69596,5154,1600,280,12915,4
67368,4820,2034,180,13522,4
81498,3830,788,100,8193,2
83326,2630,316,0,4761,0
83326,2630,316,0,4762,0
83326,2630,316,0,4761,0
83326,2630,316,0,4762,0
131922,2476,400,0,4619,0
83078,2528,234,0,4523,0
83078,2528,234,0,4524,0
83078,2528,234,0,4523,0
99896,2678,556,0,5100,1
74758,2490,240,0,4495,0
79542,3278,1156,180,7280,1
76054,3018,508,0,5619,1
80170,4160,1060,1564,11231,3
63470,2868,1258,538,7925,2
80596,3026,604,398,7427,1
81096,3166,96,0,5655,1
81096,3166,96,0,5656,1
70106,7654,2636,1158,18238,4
125952,3616,2560,1252,12634,4
108732,6736,1872,780,16745,4
109298,6278,5904,5972,29509,4
74366,6364,2636,562,15504,4
78740,2920,40,0,4892,0
81064,2352,1650,992,8467,2
82484,2798,566,460,7040,1
82030,2244,1790,824,8239,2
79016,3302,2574,1034,11442,3
80884,3708,1670,984,10232,3
57716,4310,4306,2746,18764,4
57716,4310,4306,2746,18766,4
51690,902,556,264,2918,0
84108,2630,1064,426,6416,1
83842,2164,1430,180,6478,1
79278,3328,1512,338,9357,2
83306,2242,1198,720,7430,1
81398,1562,632,176,4167,0
118528,7200,2152,856,20526,4
136846,6330,2896,1180,16731,4
126156,9340,6700,1912,31568,4
133154,7398,2980,1484,21296,4
139204,3956,1696,728,10898,3
137444,4840,2140,916,14076,4
136748,8492,2368,3788,25998,4
130504,8768,1776,204,21817,4
128640,4928,980,1516,12817,4
49658,3330,1216,364,8084,2
81528,1822,1424,702,6423,1
81764,2780,1294,536,7966,2
81314,2364,978,1050,7546,2
80210,4758,948,260,10099,3
66150,4726,1084,2350,14056,4
77658,4084,1636,712,10190,3
77976,3494,1364,516,8665,2
82900,2502,1532,504,7222,1
83224,2888,906,704,7780,2
84294,2492,1198,606,6616,1
75160,6376,3348,1034,17811,4
68344,4098,8038,4486,25879,4
79046,4148,898,324,8947,2
79234,3686,1312,344,8433,2
79816,2552,1434,436,7183,1
76760,4918,874,378,11208,3
81554,1910,1354,398,5840,1
78792,3342,548,312,7549,2
56858,3582,1754,0,7670,2
49370,7506,8,0,12133,3
49370,2586,4928,0,12134,3
84298,1216,742,58,3121,0
82628,1728,1246,714,7011,1
74994,1442,654,294,5103,1
74994,1442,654,294,5104,1
74994,1442,654,294,5103,1
74994,1442,654,294,5105,1
74994,1442,654,294,5103,1
50856,754,1602,2648,8733,2
83428,1364,1352,172,5525,1
79058,1790,3668,1800,14813,4
82666,1702,208,1726,6929,1
82030,1796,1734,756,7136,1
82030,1796,1734,756,7137,1
82560,560,1250,1946,6337,1
78780,2866,3584,976,13226,4
78780,2866,3584,976,13227,4
78780,2866,3584,976,13226,4
78780,2866,3584,976,13228,4
78780,2866,3584,976,13226,4
78780,2866,3584,976,13227,4
78780,2866,3584,976,13226,4
78780,2866,3584,976,13227,4
78780,2866,3584,976,13226,4
78780,2866,3584,976,13228,4
82560,1810,1250,696,6337,1
82560,1810,1250,696,6338,1
82030,1764,1766,756,7136,1
74994,1442,654,294,5103,1
111100,10684,0,0,15972,4
111100,10684,0,0,15973,4
111100,10684,0,0,15972,4
111100,10684,0,0,15974,4
111100,10684,0,0,15972,4
111100,10684,0,0,15973,4
111100,10684,0,0,15972,4
111100,10684,0,0,15975,4
111100,10684,0,0,15972,4
111100,10684,0,0,15977,4
111100,10684,0,0,15972,4
111100,10684,0,0,15973,4
111100,10684,0,0,15972,4
111100,10684,0,0,15974,4
111100,10684,0,0,15972,4
111100,10684,0,0,15973,4
88406,7304,3750,1256,18678,4
94632,7262,758,0,12089,3
89360,3722,1728,420,9474,2
83558,5586,1856,1064,13641,4
88514,7500,1892,1664,17169,4
111270,5790,4096,1048,18433,4
117666,7394,1030,1182,13126,4
84328,3906,1416,1116,10020,3
77430,4580,548,0,7788,2
82554,4928,816,1700,11356,3
82554,4928,816,1700,11357,3
77150,4056,912,1280,10052,3
76298,4692,784,592,9229,2
72278,4538,684,0,7979,2
62286,7202,2316,2134,16406,4
16888,2478,1174,246,5775,1
176550,9976,2594,1158,30235,4
110362,7172,6008,12900,42815,4
111258,2342,200,0,4141,0
74158,3446,3478,4566,20891,4
93362,1260,374,210,4862,0
89294,3638,1140,44,8645,2
75734,4620,2814,1756,16290,4
71986,4606,1452,378,10832,3
74676,3632,1850,2438,12817,4
75196,5026,1704,294,12393,3
104550,5316,1292,0,11495,3
79326,4412,980,96,11189,3
72110,4250,5080,3938,19715,4
72438,3882,2752,0,14267,4
55518,3242,804,0,7067,1
